station,lon,lat,Annualised
southwark,-0.1053973366341109,51.50428757953953,8717860.62819597
st james street,-0.03220281524406216,51.58116866957926,1525094.94827961
st jamess park,-0.13362702165334753,51.49956127784573,10124656.5033332
st johns wood,-0.17414757419359148,51.535204969887026,5909354.27840486
st pauls,-0.09751775310793301,51.51495287569836,9025546.00044378
stamford brook,-0.24600122518353934,51.49491810505981,2177149.9352395
stamford hill,-0.07655197955206006,51.574622520343986,1005182.58863625
stanmore,-0.30326247710286686,51.61971092780402,3110656.055315
star lane,0.0041585727451597145,51.520819837186984,1513083.26345956
stepney green,-0.04659090323887023,51.52186169216427,5219010.59307115
stockwell,-0.12304218836550174,51.471828457292595,7280389.66780683
stoke newington,-0.07213573514542904,51.564663763752,2108458.37995508
stonebridge park,-0.27646679490996795,51.54419264973254,2382197.03785614
stratford,-0.0038044932283004124,51.541456474970374,53381333.6218838
stratford high street,-0.0007522964066607698,51.53803534803309,1145308.71115055
stratford international,-0.009453751815696758,51.54484702873074,3775810.21154429
sudbury hill,-0.3366239412564384,51.556965186588656,1629756.64236924
sudbury town,-0.31574648733108523,51.550805806993615,1599202.41263446
surrey quays,-0.047774048650579985,51.49339371921687,4338633.56161039
swiss cottage,-0.1748398347754523,51.543705426489815,5386047.75197018
sydenham,-0.05439361968729869,51.4274465627169,3505871.74280097
taplow,-0.6811443925321641,51.52322326734822,834656.416456009
temple,-0.1142517165435635,51.51098440371512,7901578.1391883
theobalds grove,-0.03503170572277989,51.69224027068294,720592.895689869
theydon bois,0.10332766399974982,51.671832474283256,708952.459355466
tooting bec,-0.15923362533504307,51.43589927439103,6245015.06553894
tooting broadway,-0.16838983681417344,51.42767600459316,12175529.9739282
tottenham court road,-0.1305038755407188,51.51645724635473,59454641.693425
tottenham hale,-0.06016465065370943,51.588048703622064,13266159.0410167
totteridge & whetstone,-0.1792054604098072,51.63058779485697,1954529.18522976
tower gateway,-0.07467461693905338,51.51062135006435,2625579.45779017
tower hill,-0.07652627141943265,51.50994511580926,15707891.7504137
tufnell park,-0.13846565572304778,51.556844309753046,4708488.84614279
turkey street,-0.04710786052901344,51.67291221517679,1115787.11386293
turnham green,-0.2545503301237331,51.49495783192351,4817176.61199474
turnpike lane,-0.10297211354184564,51.590252328536295,7823034.04977046
twyford,-0.8631358653506278,51.475447045428155,3830475.7325618
upminster,0.25111551581131547,51.55908765486934,4485478.56221182
upminster bridge,0.23582667980199254,51.558496054141195,709543.265913168
upney,0.10155366360748233,51.53835457119145,2173304.71924026
upper holloway,-0.1294413626761242,51.563690376351396,1847651.21145844
upton park,0.03521015765496973,51.53538004104194,11259011.6104406
uxbridge,-0.4776347848292753,51.54646222722114,5202027.56541865
vauxhall,-0.12425212298282715,51.48569743810505,21211961.6351839
